epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2345.34,1.90337,4.46015,1.05634,0.93857,0.00219,0.00377,0.00119,2.45856,10.9304,0.96456,0.000827782,0.000827782,0.000827782
44,2378.14,2.07993,4.40108,1.04507,0.00342,0.05107,0.00469,0.00166,2.39505,9.2701,0.98775,0.000832902,0.000832902,0.000832902
45,2410.52,2.0731,4.71412,0.75444,0.00342,0.05107,0.00469,0.00166,2.39505,9.2701,0.98775,0.000837361,0.000837361,0.000837361
46,2446.76,1.89986,4.44838,0.98095,0.00467,0.05764,0.00677,0.00297,2.32014,9.47894,0.75803,0.00084116,0.00084116,0.00084116
47,2481.15,2.02731,4.72516,0.69402,0.00467,0.05764,0.00677,0.00297,2.32014,9.47894,0.75803,0.000844299,0.000844299,0.000844299
48,2515.82,2.20218,5.67309,0.76701,0.00445,0.05545,0.04227,0.03147,2.2204,9.3649,0.86882,0.000846778,0.000846778,0.000846778
49,2548.73,2.02139,4.88929,0.88041,0.00445,0.05545,0.04227,0.03147,2.2204,9.3649,0.86882,0.000848596,0.000848596,0.000848596
50,2581.36,1.94959,4.74965,0.85147,0.00278,0.0802,0.04318,0.03206,2.18453,9.10932,0.98858,0.000849755,0.000849755,0.000849755
51,2617.09,1.97179,4.62068,1.08245,0.00278,0.0802,0.04318,0.03206,2.18453,9.10932,0.98858,0.000841835,0.000841835,0.000841835
52,2651.45,1.93112,4.00426,0.8463,0.00474,0.09117,0.07501,0.04161,2.23319,8.09693,0.87025,0.000825332,0.000825332,0.000825332
53,2686.53,1.76766,4.06993,0.90622,0.00474,0.09117,0.07501,0.04161,2.23319,8.09693,0.87025,0.000808828,0.000808828,0.000808828
54,2719.84,1.98869,3.63877,0.98469,0.41336,0.07362,0.07578,0.0305,2.46011,8.49633,0.99622,0.000792325,0.000792325,0.000792325
55,2752.41,1.94525,4.0115,0.77857,0.41336,0.07362,0.07578,0.0305,2.46011,8.49633,0.99622,0.000775822,0.000775822,0.000775822
56,2785.09,1.77818,3.62625,0.92913,0.50589,0.08932,0.11208,0.05025,2.52861,8.25724,0.86389,0.000759318,0.000759318,0.000759318
57,2817.29,1.87683,4.57597,0.728,0.50589,0.08932,0.11208,0.05025,2.52861,8.25724,0.86389,0.000742815,0.000742815,0.000742815
58,2850.79,2.00707,4.36689,0.80706,0.50526,0.0975,0.11318,0.05995,2.30879,8.51165,0.98204,0.000726312,0.000726312,0.000726312
59,2885.21,1.8514,3.72984,1.04827,0.50526,0.0975,0.11318,0.05995,2.30879,8.51165,0.98204,0.000709809,0.000709809,0.000709809
60,2918.96,2.0797,5.10637,0.85203,0.51392,0.10845,0.11414,0.06002,2.44233,8.03184,1.13319,0.000693305,0.000693305,0.000693305
61,2953.07,1.82207,3.81532,0.92078,0.51392,0.10845,0.11414,0.06002,2.44233,8.03184,1.13319,0.000676802,0.000676802,0.000676802
62,2988.99,1.85828,4.0523,1.04933,0.51049,0.10804,0.11631,0.05641,2.71336,7.94784,0.94398,0.000660299,0.000660299,0.000660299
63,3028.06,1.65449,3.54239,0.97443,0.51049,0.10804,0.11631,0.05641,2.71336,7.94784,0.94398,0.000643795,0.000643795,0.000643795
64,3069.42,2.05467,4.30433,0.73793,0.52357,0.11626,0.11593,0.06,3.06485,7.63364,0.91929,0.000627292,0.000627292,0.000627292
65,3108.18,2.41145,4.31764,0.85949,0.52357,0.11626,0.11593,0.06,3.06485,7.63364,0.91929,0.000610789,0.000610789,0.000610789
